epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,12271.3,1.53722,1.58087,1.59386,0.36934,0.46642,0.42463,0.23239,1.60627,1.69704,1.83807,0.003961,0.003961,0.003961
63,12466.9,1.53609,1.58487,1.5961,0.42343,0.46548,0.44525,0.24566,1.61125,1.66503,1.83086,0.003862,0.003862,0.003862
64,12662.7,1.53051,1.57023,1.59529,0.48602,0.41773,0.429,0.239,1.59359,1.67784,1.80813,0.003763,0.003763,0.003763
65,12858,1.52731,1.56704,1.6015,0.45741,0.48819,0.43521,0.24034,1.59996,1.68961,1.81328,0.003664,0.003664,0.003664
66,13052.9,1.5334,1.56083,1.59495,0.43568,0.4719,0.42747,0.23619,1.61406,1.68842,1.83507,0.003565,0.003565,0.003565
67,13248.7,1.52155,1.56876,1.59113,0.42589,0.47027,0.42378,0.23995,1.58774,1.6686,1.81568,0.003466,0.003466,0.003466
68,13443.3,1.52865,1.56381,1.58802,0.44465,0.46872,0.43983,0.24539,1.59081,1.63683,1.80802,0.003367,0.003367,0.003367
69,13638.1,1.51687,1.54293,1.57861,0.4343,0.46644,0.43981,0.24642,1.59309,1.65602,1.79488,0.003268,0.003268,0.003268
70,13832.4,1.51324,1.54737,1.58049,0.42321,0.47396,0.42376,0.2426,1.58078,1.66359,1.79462,0.003169,0.003169,0.003169
71,14027,1.51508,1.53234,1.5809,0.41483,0.47219,0.42596,0.24383,1.60717,1.66425,1.82016,0.00307,0.00307,0.00307
72,23381.6,1.50706,1.52231,1.57039,0.45837,0.4607,0.43535,0.24846,1.61479,1.675,1.82594,0.002971,0.002971,0.002971
73,23591.7,1.50075,1.51651,1.57244,0.44442,0.46836,0.43924,0.25074,1.61945,1.69741,1.84204,0.002872,0.002872,0.002872
74,30985.8,1.51218,1.51287,1.56886,0.46019,0.4607,0.43999,0.2517,1.59679,1.68997,1.82506,0.002773,0.002773,0.002773
75,31181.4,1.4973,1.50856,1.56801,0.49173,0.45499,0.44343,0.253,1.6082,1.65991,1.83325,0.002674,0.002674,0.002674
76,31376.2,1.4887,1.51041,1.56467,0.45118,0.45878,0.44276,0.25114,1.61363,1.69176,1.8389,0.002575,0.002575,0.002575
77,31571.1,1.48788,1.49547,1.56052,0.47571,0.45211,0.4384,0.24412,1.60677,1.68267,1.83261,0.002476,0.002476,0.002476
78,31766.6,1.48811,1.49362,1.56225,0.50907,0.45303,0.43574,0.2437,1.61414,1.70103,1.83502,0.002377,0.002377,0.002377
79,31961.4,1.48773,1.48534,1.55676,0.46887,0.46884,0.4354,0.24329,1.61365,1.69454,1.84099,0.002278,0.002278,0.002278
80,32156.6,1.48679,1.48543,1.55435,0.46356,0.43225,0.42773,0.23915,1.60317,1.68252,1.82776,0.002179,0.002179,0.002179
81,32351.3,1.48726,1.47038,1.55611,0.46852,0.40541,0.43067,0.24073,1.62443,1.69328,1.83495,0.00208,0.00208,0.00208
82,32545.7,1.48054,1.47426,1.55717,0.43428,0.41447,0.43434,0.24447,1.63855,1.69674,1.84448,0.001981,0.001981,0.001981
83,36814.3,1.47578,1.45929,1.5484,0.42332,0.41351,0.43488,0.2461,1.62516,1.68647,1.84052,0.001882,0.001882,0.001882
84,37055.7,1.48281,1.46079,1.55348,0.4267,0.43689,0.43519,0.24501,1.61356,1.68484,1.83513,0.001783,0.001783,0.001783
85,37296.8,1.47389,1.45591,1.54974,0.44221,0.43452,0.43122,0.24366,1.59566,1.69429,1.82488,0.001684,0.001684,0.001684
86,37541.7,1.46498,1.43797,1.54123,0.45926,0.39687,0.43356,0.24456,1.59943,1.71049,1.82588,0.001585,0.001585,0.001585
87,37783.7,1.46534,1.43238,1.5408,0.43848,0.43742,0.43089,0.24467,1.59999,1.69758,1.82534,0.001486,0.001486,0.001486
88,38001,1.46354,1.44395,1.53972,0.43336,0.44444,0.43157,0.24292,1.61361,1.6984,1.83636,0.001387,0.001387,0.001387
89,38196.5,1.46319,1.42899,1.53075,0.44655,0.42876,0.43569,0.24423,1.61837,1.69475,1.8432,0.001288,0.001288,0.001288
90,38392.1,1.46198,1.4171,1.53596,0.44749,0.41116,0.43609,0.24289,1.61709,1.70106,1.84284,0.001189,0.001189,0.001189
91,38634.3,1.499,1.36161,1.59634,0.49533,0.39027,0.43688,0.24344,1.60719,1.70059,1.83346,0.00109,0.00109,0.00109
92,56937,1.48435,1.32635,1.5831,0.52444,0.38346,0.43498,0.24525,1.61485,1.70402,1.83907,0.000991,0.000991,0.000991
93,57131.2,1.47533,1.30792,1.57787,0.5303,0.38203,0.43304,0.24376,1.62327,1.7116,1.84484,0.000892,0.000892,0.000892
94,57327,1.4728,1.3009,1.57228,0.53581,0.38154,0.42749,0.24083,1.61925,1.70746,1.84035,0.000793,0.000793,0.000793
95,57520.3,1.46444,1.29312,1.56777,0.53312,0.38346,0.4264,0.24018,1.61956,1.7051,1.84139,0.000694,0.000694,0.000694
96,57713.4,1.4564,1.2836,1.56582,0.53146,0.38729,0.42986,0.23966,1.62448,1.70821,1.84453,0.000595,0.000595,0.000595
97,57906.4,1.45471,1.27698,1.56607,0.50817,0.38729,0.42775,0.23786,1.62321,1.70655,1.84755,0.000496,0.000496,0.000496
98,58099.6,1.44648,1.26263,1.56025,0.52398,0.38729,0.42884,0.23751,1.62438,1.71425,1.85218,0.000397,0.000397,0.000397
99,58292.9,1.44249,1.25986,1.5535,0.50529,0.38729,0.43013,0.23901,1.63141,1.71921,1.8594,0.000298,0.000298,0.000298
100,58487.5,1.44272,1.25222,1.55382,0.49731,0.38915,0.43062,0.23927,1.6375,1.72473,1.86476,0.000199,0.000199,0.000199
